Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,45.580002,46.439999,45.580002,46.220001,44.130711,3618600
2020-07-28,45.910000,46.009998,45.340000,45.369999,43.319130,2654300
2020-07-29,45.639999,46.830002,45.450001,46.549999,44.445793,3375200
2020-07-30,45.910000,47.020000,45.720001,46.910000,44.789516,3262200
2020-07-31,47.060001,47.070000,46.150002,47.040001,44.913639,4397300
2020-08-03,47.369999,47.959999,47.250000,47.459999,45.314655,3547600
2020-08-04,47.180000,47.590000,47.110001,47.529999,45.381493,4427600
2020-08-05,47.540001,48.209999,47.490002,48.060001,45.887539,2156200
2020-08-06,47.200001,48.020000,47.110001,47.939999,45.772961,2772500
2020-08-07,47.889999,48.509998,47.650002,48.450001,46.259907,2655400
2020-08-10,48.419998,48.590000,47.730000,47.930000,45.763412,2665100
2020-08-11,48.180000,48.369999,47.259998,47.389999,45.247818,4373600
2020-08-12,47.580002,48.480000,47.509998,48.139999,45.963921,2949900
2020-08-13,48.049999,48.380001,47.820000,48.009998,45.839802,2261800
2020-08-14,47.759998,48.340000,47.650002,47.990002,45.820702,2044600
2020-08-17,48.049999,48.480000,47.959999,48.240002,46.059395,2258600
2020-08-18,48.330002,48.549999,48.049999,48.070000,45.897087,2514200
2020-08-19,48.230000,48.549999,47.889999,48.020000,45.849346,2103600
2020-08-20,47.799999,48.290001,47.650002,48.200001,46.021210,1854200
2020-08-21,48.220001,48.570000,47.919998,48.540001,46.345837,1956300
2020-08-24,48.720001,48.889999,47.180000,47.880001,45.715679,2801900
2020-08-25,48.119999,48.209999,47.599998,47.889999,45.725220,2635300
2020-08-26,47.869999,48.310001,47.570000,48.090000,45.916183,2609600
2020-08-27,48.360001,48.709999,48.040001,48.349998,46.164429,2531800
2020-08-28,48.529999,48.880001,48.330002,48.840000,46.632278,2353300
2020-08-31,48.680000,49.080002,48.610001,48.860001,46.651379,3111400
2020-09-01,48.860001,49.529999,48.450001,49.490002,47.252899,2951300
2020-09-02,49.570000,49.860001,49.270000,49.669998,47.424759,4811100
2020-09-03,48.939999,49.119999,46.509998,47.020000,44.894550,5376200
2020-09-04,47.549999,47.549999,45.509998,46.270000,44.178452,5448900
2020-09-08,44.820000,45.250000,43.639999,43.709999,41.734177,7211600
2020-09-09,44.320000,45.650002,44.290001,45.230000,43.185459,4428900
2020-09-10,45.189999,45.349998,43.709999,43.959999,41.972870,3629300
2020-09-11,44.139999,44.459999,43.470001,44.029999,42.039703,3850900
2020-09-14,44.439999,44.509998,44.060001,44.330002,42.326149,2492500
2020-09-15,44.450001,44.970001,44.419998,44.680000,42.660324,2643100
2020-09-16,44.970001,45.169998,44.189999,44.259998,42.259308,3339000
2020-09-17,43.630001,44.439999,43.259998,44.259998,42.259308,5557800
2020-09-18,44.349998,44.919998,43.410000,44.040001,42.049252,5393200
2020-09-21,43.570000,43.740002,43.049999,43.720001,41.743717,3240800
2020-09-22,43.830002,44.900002,43.689999,44.790001,42.765354,3558600
2020-09-23,44.570000,44.950001,44.099998,44.189999,42.192474,2939800
2020-09-24,44.250000,45.119999,44.029999,44.279999,42.278404,2639600
2020-09-25,43.980000,45.169998,43.860001,44.880001,42.851284,2607000
2020-09-28,45.439999,45.990002,45.240002,45.770000,43.701054,2823400
2020-09-29,45.720001,46.130001,45.169998,45.330002,43.280949,2992900
2020-09-30,45.860001,45.860001,44.840000,45.090000,43.051788,3735400
2020-10-01,45.369999,45.380001,44.650002,44.759998,42.736702,3170300
2020-10-02,44.259998,44.830002,44.099998,44.540001,42.526653,3767200
2020-10-05,44.689999,45.990002,44.689999,45.830002,43.758343,3043200
2020-10-06,45.700001,46.139999,45.029999,45.130001,43.089981,3647100
2020-10-07,45.439999,46.340000,45.360001,46.209999,44.121162,2740400
2020-10-08,46.410000,46.590000,45.919998,46.000000,43.920654,2939100
2020-10-09,46.220001,47.090000,46.169998,46.630001,44.522179,3132100
2020-10-12,47.110001,48.770000,47.020000,47.639999,45.486523,5920600
2020-10-13,45.230000,46.090000,44.549999,45.349998,43.300037,6417900
2020-10-14,45.669998,45.970001,44.810001,44.950001,42.918121,3487700
2020-10-15,44.639999,45.169998,44.299999,44.619999,42.603035,3295100
2020-10-16,44.910000,45.630001,44.770000,45.259998,43.214104,3384400
2020-10-19,45.230000,45.369999,44.200001,44.430000,42.421627,4116500
2020-10-20,44.910000,45.419998,44.799999,45.040001,43.004047,2374100
2020-10-21,45.070000,45.369999,43.919998,43.939999,41.953770,3432900
2020-10-22,44.049999,44.209999,43.500000,44.090000,42.097000,2586900
2020-10-23,44.340000,45.099998,44.040001,45.000000,42.965862,2533100
2020-10-26,43.919998,44.340000,43.740002,44.299999,42.533802,3012600
2020-10-27,44.419998,44.570000,43.529999,43.580002,41.842506,2332800
2020-10-28,42.790001,43.380001,42.660000,42.939999,41.228020,3218700
2020-10-29,42.959999,43.650002,42.570000,43.119999,41.400841,2290800
2020-10-30,42.880001,43.500000,42.630001,43.230000,41.506462,3018300
2020-11-02,43.669998,44.549999,43.669998,44.520000,42.745029,2695300
2020-11-03,45.060001,46.430000,45.060001,46.220001,44.377251,3124200
2020-11-04,46.709999,47.750000,46.389999,46.599998,44.742100,4040700
2020-11-05,47.410000,47.650002,46.290001,46.340000,44.492462,3267200
2020-11-06,46.410000,47.130001,46.040001,46.980000,45.106949,2136600
2020-11-09,48.660000,49.360001,45.910000,45.990002,44.156429,3904900
2020-11-10,45.549999,47.169998,45.470001,46.759998,44.895725,3750900
2020-11-11,47.119999,47.360001,46.419998,47.240002,45.356586,2089500
2020-11-12,47.020000,47.119999,46.009998,46.330002,44.482872,2588800
2020-11-13,46.790001,47.669998,46.669998,47.529999,45.635021,2156000
2020-11-16,47.750000,48.610001,47.360001,48.610001,46.671967,2254600
2020-11-17,48.060001,48.290001,47.459999,47.660000,45.759838,2356700
2020-11-18,47.709999,48.150002,47.430000,47.610001,45.711834,2655700
2020-11-19,47.500000,48.080002,46.930000,47.980000,46.067081,1847000
2020-11-20,47.830002,48.110001,47.200001,47.299999,45.414196,5156600
2020-11-23,47.380001,47.970001,47.060001,47.910000,45.999870,4708600
2020-11-24,48.130001,49.139999,47.630001,48.939999,46.988804,3758600
2020-11-25,48.779999,48.950001,47.840000,48.189999,46.268707,2172700
2020-11-27,48.250000,48.799999,48.130001,48.580002,46.643166,1655300
2020-11-30,48.529999,49.529999,48.310001,49.450001,47.478474,6174000
2020-12-01,49.509998,49.599998,48.419998,48.520000,46.965458,3425700
2020-12-02,48.310001,48.680000,47.410000,47.580002,46.055580,2338700
2020-12-03,47.470001,48.009998,47.230000,47.369999,45.852303,3001800
2020-12-04,47.580002,48.459999,47.529999,48.049999,46.510517,3388600
2020-12-07,48.000000,49.000000,47.720001,48.680000,47.120335,3332600
2020-12-08,48.369999,49.349998,48.160000,49.099998,47.526875,2884800
2020-12-09,49.029999,49.849998,49.020000,49.630001,48.039898,3189000
2020-12-10,49.270000,49.540001,48.330002,48.389999,46.839622,2538000
2020-12-11,48.299999,49.580002,47.599998,49.209999,47.633350,2813500
2020-12-14,49.349998,49.860001,49.189999,49.220001,47.643036,2502200
2020-12-15,49.419998,50.180000,49.279999,49.830002,48.233490,2544800
2020-12-16,48.910000,49.639999,48.730000,49.470001,47.885021,2859700
2020-12-17,49.650002,49.740002,49.299999,49.570000,47.981815,2752400
2020-12-18,49.689999,49.820000,48.820000,49.340000,47.759186,5757000
2020-12-21,48.799999,49.709999,48.340000,49.610001,48.020535,3342200
2020-12-22,49.700001,49.750000,49.180000,49.470001,47.885021,2331500
2020-12-23,49.779999,49.790001,48.900002,49.090000,47.517197,1935000
2020-12-24,49.369999,49.520000,49.150002,49.520000,47.933422,704500
2020-12-28,49.880001,50.130001,49.549999,50.049999,48.446438,4165000
2020-12-29,50.150002,50.470001,49.290001,49.720001,48.127007,2864600
2020-12-30,49.990002,49.990002,48.709999,49.070000,47.497833,1460200
2020-12-31,48.889999,49.099998,48.330002,48.830002,47.265526,2379500
2021-01-04,49.029999,49.360001,47.189999,47.650002,46.123333,3576100
2021-01-05,47.590000,48.380001,47.340000,48.279999,46.733147,2666000
2021-01-06,48.040001,49.389999,47.939999,49.099998,47.526875,3709400
2021-01-07,49.259998,49.799999,48.360001,49.709999,48.117325,2954100
2021-01-08,49.580002,50.910000,49.580002,50.750000,49.124008,3777100
2021-01-11,50.310001,50.889999,50.250000,50.480000,48.862659,2259000
2021-01-12,50.400002,51.889999,50.310001,51.619999,49.966129,3374200
2021-01-13,51.529999,51.619999,50.669998,50.700001,49.075615,3316700
2021-01-14,50.980000,51.029999,49.939999,50.320000,48.707787,2209800
2021-01-15,50.250000,50.599998,49.529999,50.480000,48.862659,2645300
2021-01-19,50.799999,51.150002,49.900002,50.419998,48.804581,4419000
2021-01-20,50.000000,50.490002,47.720001,48.700001,47.139694,6640900
2021-01-21,48.799999,49.119999,47.840000,48.169998,46.626671,4073300
2021-01-22,48.169998,48.250000,47.549999,47.720001,46.191090,3916500
2021-01-25,47.610001,48.250000,46.900002,48.130001,46.587955,3231900
2021-01-26,48.430000,48.560001,47.360001,47.610001,46.084614,2362200
2021-01-27,47.080002,47.950001,46.450001,47.820000,46.287888,4461600
2021-01-28,47.740002,48.500000,46.639999,46.650002,45.155373,3445100
2021-01-29,46.410000,46.990002,45.529999,45.590000,44.129333,3769400
2021-02-01,46.220001,46.779999,46.009998,46.419998,44.932735,2815000
2021-02-02,46.580002,46.919998,45.840000,46.470001,45.254108,3601400
2021-02-03,46.349998,47.230000,46.099998,47.000000,45.770233,3352900
2021-02-04,46.619999,47.169998,45.880001,47.119999,45.887100,4222500
2021-02-05,47.389999,47.619999,46.939999,47.299999,46.062389,2463900
2021-02-08,47.509998,47.990002,47.310001,47.470001,46.227936,2350000
2021-02-09,47.410000,47.439999,46.610001,47.310001,46.072128,2422300
2021-02-10,47.650002,47.849998,47.070000,47.660000,46.412968,2180700
2021-02-11,47.830002,47.950001,46.750000,47.070000,45.838406,1531600
2021-02-12,47.070000,47.430000,46.950001,47.389999,46.150032,2485700
2021-02-16,47.500000,47.630001,46.570000,46.630001,45.409916,2472900
2021-02-17,46.480000,47.040001,46.340000,46.950001,45.721546,1867900
2021-02-18,46.590000,47.610001,46.400002,47.290001,46.052654,2484900
2021-02-19,47.240002,47.950001,47.130001,47.230000,45.994217,2146400
2021-02-22,47.040001,47.150002,46.270000,46.320000,45.108032,2838500
2021-02-23,46.290001,46.919998,45.720001,46.799999,45.575470,3204400
2021-02-24,46.459999,47.099998,45.959999,46.900002,45.672855,3372700
2021-02-25,46.799999,47.290001,46.139999,46.279999,45.069073,2667400
2021-02-26,46.389999,46.919998,46.009998,46.369999,45.156723,4489900
2021-03-01,46.439999,48.790001,46.439999,48.470001,47.201775,5229600
2021-03-02,48.490002,48.490002,47.270000,47.480000,46.237675,3750700
2021-03-03,47.209999,47.650002,46.439999,46.450001,45.234627,3751500
2021-03-04,46.150002,46.209999,43.369999,44.169998,43.014278,6061300
2021-03-05,44.529999,45.330002,43.610001,45.180000,43.997860,4177500
2021-03-08,45.070000,45.540001,44.590000,44.660000,43.491463,3292100
2021-03-09,45.380001,45.980000,45.230000,45.689999,44.494514,3573200
2021-03-10,45.820000,46.480000,45.650002,46.150002,44.942478,2624600
2021-03-11,46.299999,46.790001,46.049999,46.369999,45.156723,2353700
2021-03-12,46.560001,47.220001,46.320000,47.150002,45.916313,3242200
2021-03-15,47.580002,48.340000,47.439999,48.130001,46.870674,4133000
2021-03-16,48.029999,48.540001,47.709999,47.720001,46.471401,3649000
2021-03-17,47.799999,48.549999,47.610001,48.410000,47.143345,2895700
2021-03-18,48.020000,48.349998,47.400002,47.500000,46.257153,3073700
2021-03-19,47.520000,47.950001,46.930000,47.630001,46.383759,15683200
2021-03-22,47.520000,48.099998,47.230000,47.980000,46.724594,2940200
2021-03-23,47.900002,48.369999,47.540001,47.700001,46.451923,2921000
2021-03-24,47.700001,48.630001,47.700001,48.230000,46.968052,2651500
2021-03-25,48.410000,49.410000,47.959999,49.220001,47.932152,3242400
2021-03-26,49.240002,50.610001,49.200001,50.560001,49.237091,2722700
2021-03-29,50.610001,51.099998,50.369999,50.680000,49.353951,2961900
2021-03-30,50.369999,50.770000,50.020000,50.619999,49.295521,2457700
2021-03-31,50.770000,50.959999,50.220001,50.279999,48.964413,3251400
2021-04-01,50.369999,51.160000,50.250000,51.110001,49.772697,2940600
2021-04-05,51.410000,51.540001,50.900002,51.439999,50.094067,3079500
2021-04-06,51.230000,51.669998,51.080002,51.270000,49.928513,2892700
2021-04-07,51.160000,51.200001,49.880001,49.930000,48.623573,3497500
2021-04-08,50.040001,50.369999,49.830002,50.220001,48.905983,3519700
2021-04-09,50.119999,50.230000,49.230000,50.060001,48.750172,4367700
2021-04-12,50.000000,50.849998,49.840000,50.709999,49.383163,5731800
2021-04-13,49.110001,50.009998,48.570000,49.980000,48.672264,7567300
2021-04-14,49.990002,50.939999,49.639999,50.060001,48.750172,4310000
2021-04-15,50.330002,50.439999,49.799999,50.389999,49.071537,3551300
2021-04-16,50.279999,50.660000,49.930000,50.540001,49.217613,3821100
2021-04-19,50.610001,50.880001,50.000000,50.799999,49.470806,2701200
2021-04-20,51.310001,51.310001,50.740002,51.130001,49.792175,2791500
2021-04-21,51.320000,52.119999,51.230000,52.060001,50.697842,2445500
2021-04-22,52.000000,52.400002,51.689999,51.750000,50.395950,3381600
2021-04-23,51.779999,52.500000,51.540001,52.180000,51.091133,2232900
2021-04-26,52.169998,52.369999,51.700001,51.919998,50.836555,2212700
2021-04-27,51.669998,51.980000,51.480000,51.910000,50.826767,2501200
2021-04-28,51.779999,51.919998,51.369999,51.689999,50.611359,1934400
2021-04-29,51.980000,53.080002,51.770000,52.869999,51.766735,2745400
2021-04-30,52.750000,53.360001,52.189999,52.279999,51.189049,5197000
2021-05-03,52.500000,53.150002,52.209999,53.000000,51.894024,3053600
2021-05-04,52.939999,53.580002,52.630001,53.290001,52.177971,3252500
2021-05-05,53.520000,54.220001,52.950001,54.180000,53.049400,3590200
2021-05-06,53.240002,53.560001,52.570000,52.880001,51.776527,4300300
2021-05-07,53.250000,53.490002,52.669998,53.250000,52.138809,3061000
2021-05-10,53.220001,54.320000,53.080002,53.750000,52.628372,3082900
2021-05-11,53.500000,53.700001,52.750000,52.889999,51.786316,4233400
2021-05-12,52.400002,53.040001,51.959999,52.000000,50.914890,3069600
2021-05-13,52.330002,53.529999,52.110001,53.240002,52.129021,2152700
2021-05-14,53.619999,54.060001,53.180000,53.900002,52.775242,2204700
2021-05-17,54.020000,54.020000,53.209999,53.669998,52.550041,1825200
2021-05-18,53.779999,53.980000,52.360001,52.400002,51.306545,3459600
2021-05-19,52.110001,52.310001,51.290001,51.930000,50.846352,2593900
2021-05-20,51.860001,52.540001,51.799999,52.340000,51.247795,2120700
2021-05-21,52.619999,53.000000,52.150002,52.369999,51.277172,2563000
2021-05-24,52.580002,53.080002,52.389999,52.849998,51.747154,1624000
2021-05-25,53.000000,53.130001,52.549999,52.689999,51.590492,1961500
2021-05-26,52.700001,52.930000,52.419998,52.910000,51.805904,1856500
2021-05-27,53.279999,53.540001,52.700001,52.750000,51.649242,2888900
2021-05-28,53.080002,53.380001,52.959999,53.040001,51.933189,1956600
2021-06-01,53.340000,53.619999,52.410000,52.540001,51.443623,2311700
2021-06-02,52.790001,52.799999,52.200001,52.430000,51.335915,2129700
2021-06-03,52.230000,52.730000,51.900002,52.599998,51.502369,2505600
2021-06-04,52.939999,53.389999,52.810001,53.070000,51.962563,2658100
2021-06-07,53.070000,53.119999,52.349998,52.779999,51.678616,2084300
2021-06-08,52.820000,53.130001,52.270000,53.029999,51.923397,2765600
2021-06-09,53.369999,53.369999,52.590000,52.610001,51.512165,1910800
2021-06-10,52.900002,53.029999,52.410000,52.680000,51.580700,1807400
2021-06-11,52.939999,53.070000,52.340000,52.500000,51.404461,2147700
2021-06-14,52.389999,52.740002,52.090000,52.730000,51.629658,2240700
2021-06-15,50.950001,51.990002,50.900002,51.560001,50.484074,6554900
2021-06-16,51.290001,51.770000,50.740002,51.009998,49.945549,3533900
2021-06-17,51.150002,51.259998,49.520000,50.299999,49.250366,3883200
2021-06-18,49.610001,50.990002,49.380001,50.709999,49.651810,6033500
2021-06-21,51.029999,51.900002,50.810001,51.459999,50.386162,3149300
2021-06-22,51.549999,51.869999,51.259998,51.549999,50.474285,2443000
2021-06-23,51.529999,52.220001,51.090000,51.590000,50.513447,3117600
2021-06-24,51.880001,51.889999,51.430000,51.680000,50.601570,2558100
2021-06-25,51.799999,51.970001,51.500000,51.770000,50.689693,4063400
2021-06-28,51.980000,52.099998,51.419998,51.650002,50.572197,2113600
2021-06-29,51.889999,52.060001,51.490002,51.770000,50.689693,2591400
2021-06-30,51.869999,52.110001,51.720001,52.000000,50.914890,2749500
2021-07-01,52.259998,52.410000,51.889999,52.060001,50.973644,3402700
2021-07-02,52.119999,52.810001,52.110001,52.599998,51.502369,1762600
2021-07-06,52.549999,52.610001,51.529999,52.459999,51.365292,3050400
2021-07-07,52.520000,53.840000,52.430000,53.700001,52.579418,3149300
2021-07-08,53.250000,53.619999,52.730000,53.000000,51.894024,3170000
2021-07-09,53.160000,53.919998,53.119999,53.840000,52.716496,2856500
2021-07-12,54.759998,54.759998,53.689999,54.020000,52.892738,6865000
2021-07-13,52.930000,53.730000,52.570000,53.160000,52.050686,6322600
2021-07-14,53.250000,53.380001,52.369999,53.230000,52.119225,3484400
2021-07-15,53.020000,53.740002,52.910000,53.529999,52.412964,3615000
2021-07-16,53.599998,53.919998,53.250000,53.590000,52.471714,3182400
2021-07-19,53.349998,53.730000,53.020000,53.500000,52.383591,5893200
2021-07-20,53.709999,54.340000,53.349998,54.150002,53.020023,3204000
2021-07-21,54.349998,54.709999,53.919998,54.240002,53.108147,2370700
2021-07-22,54.290001,54.389999,53.849998,53.910000,52.785030,1404300
2021-07-23,54.150002,54.740002,54.029999,54.639999,53.499798,1878200
2021-07-26,54.360001,54.490002,53.959999,54.349998,53.489960,1895500
2021-07-27,54.240002,54.529999,53.860001,54.389999,53.529327,4759500
2021-07-28,54.320000,54.330002,53.650002,54.020000,53.165180,2512200
2021-07-29,54.200001,55.060001,54.090000,54.849998,53.982048,2416700
2021-07-30,54.930000,55.040001,54.549999,54.770000,53.903313,3835600
