Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,208.740005,211.000000,203.820007,206.000000,206.000000,961900
2020-07-28,206.320007,208.000000,203.445007,205.059998,205.059998,742900
2020-07-29,209.160004,213.410004,207.389999,210.880005,210.880005,898700
2020-07-30,210.509995,222.270004,209.559998,219.320007,219.320007,1662300
2020-07-31,222.000000,222.589996,214.440002,220.979996,220.979996,1049500
2020-08-03,221.690002,223.770004,217.500000,222.320007,222.320007,1236000
2020-08-04,220.190002,221.600006,216.139999,219.389999,219.389999,1033000
2020-08-05,220.000000,226.889999,217.880005,223.559998,223.559998,1276800
2020-08-06,223.429993,223.600006,213.294998,217.309998,217.309998,1007100
2020-08-07,213.449997,214.289993,203.610001,208.229996,208.229996,1736100
2020-08-10,207.360001,207.979996,196.029999,199.660004,199.660004,2292100
2020-08-11,198.600006,203.339996,193.710007,196.179993,196.179993,1462200
2020-08-12,197.520004,201.940002,194.009995,198.820007,198.820007,1145200
2020-08-13,200.169998,205.100006,200.169998,202.830002,202.830002,1067500
2020-08-14,205.000000,205.000000,197.869995,198.860001,198.860001,1138700
2020-08-17,200.100006,202.199997,195.279999,199.729996,199.729996,1808000
2020-08-18,201.479996,205.869995,201.380005,205.679993,205.679993,1268000
2020-08-19,208.000000,209.979996,202.309998,205.289993,205.289993,974200
2020-08-20,205.289993,212.899994,204.509995,211.029999,211.029999,1013900
2020-08-21,212.130005,213.500000,206.119995,208.389999,208.389999,1052300
2020-08-24,211.240005,211.500000,202.000000,205.119995,205.119995,965100
2020-08-25,205.449997,209.660004,203.375000,209.529999,209.529999,939600
2020-08-26,216.000000,226.080002,215.500000,224.139999,224.139999,2072900
2020-08-27,223.300003,225.000000,218.000000,218.440002,218.440002,2760700
2020-08-28,212.320007,217.419998,207.169998,207.979996,207.979996,3950300
2020-08-31,210.100006,215.750000,209.539993,215.369995,215.369995,1866300
2020-09-01,217.479996,228.580002,217.037003,224.500000,224.500000,2580900
2020-09-02,228.862000,231.289993,221.000000,230.600006,230.600006,2485700
2020-09-03,223.253998,226.429993,207.210007,208.779999,208.779999,4145500
2020-09-04,207.940002,209.949997,191.910004,203.440002,203.440002,2315200
2020-09-08,193.772995,203.830002,193.509995,197.130005,197.130005,1307900
2020-09-09,201.279999,203.320007,195.923996,200.490005,200.490005,1315400
2020-09-10,202.509995,206.576996,196.535004,198.479996,198.479996,1115900
2020-09-11,200.839996,201.190002,192.360001,193.660004,193.660004,1251400
2020-09-14,196.679993,196.979996,192.914993,194.690002,194.690002,1031500
2020-09-15,197.050003,198.690002,192.001999,193.419998,193.419998,1052700
2020-09-16,194.270004,196.899994,191.264999,193.160004,193.160004,1274600
2020-09-17,187.490005,195.229996,185.048004,194.899994,194.899994,1583800
2020-09-18,195.139999,199.970001,193.029999,197.649994,197.649994,1958800
2020-09-21,195.660004,206.750000,195.000000,206.470001,206.470001,1226900
2020-09-22,207.679993,212.160004,202.669998,211.860001,211.860001,1332400
2020-09-23,210.800003,214.240005,206.869995,207.720001,207.720001,891900
2020-09-24,205.000000,205.990005,199.679993,204.529999,204.529999,783300
2020-09-25,208.229996,218.145996,208.000000,216.199997,216.199997,1676800
2020-09-28,216.000000,216.449997,209.550003,213.330002,213.330002,916800
2020-09-29,212.179993,216.000000,211.770004,213.559998,213.559998,637000
2020-09-30,212.500000,215.770004,210.039993,213.850006,213.850006,759000
2020-10-01,216.000000,220.800003,213.619995,219.300003,219.300003,923900
2020-10-02,212.970001,220.710007,211.800003,219.059998,219.059998,1133900
2020-10-05,219.410004,228.000000,219.000000,227.259995,227.259995,1492000
2020-10-06,226.500000,235.380005,226.354996,232.490005,232.490005,2025200
2020-10-07,231.899994,240.330002,229.009995,236.600006,236.600006,1825400
2020-10-08,236.600006,239.000000,232.682999,237.570007,237.570007,1593000
2020-10-09,236.979996,240.000000,234.550003,236.449997,236.449997,1131300
2020-10-12,240.000000,246.509995,239.000000,245.550003,245.550003,1624600
2020-10-13,246.050003,249.539993,242.600006,246.949997,246.949997,1293600
2020-10-14,246.899994,251.179993,240.507004,243.110001,243.110001,922300
2020-10-15,237.153000,247.800003,235.009995,246.309998,246.309998,919800
2020-10-16,248.000000,248.050003,243.229996,243.949997,243.949997,769700
2020-10-19,245.000000,248.440002,240.369995,242.089996,242.089996,728800
2020-10-20,242.000000,245.000000,230.695007,231.679993,231.679993,1316800
2020-10-21,233.550003,233.779999,220.289993,220.809998,220.809998,1397700
2020-10-22,222.320007,223.600006,215.785004,216.550003,216.550003,1155300
2020-10-23,218.559998,219.830002,214.690994,219.509995,219.509995,1969400
2020-10-26,220.669998,225.440002,216.410004,219.199997,219.199997,1017400
2020-10-27,223.009995,224.300003,219.735001,221.330002,221.330002,830500
2020-10-28,221.880005,223.434998,216.500000,221.350006,221.350006,958200
2020-10-29,223.679993,226.190002,217.020004,218.350006,218.350006,959000
2020-10-30,218.000000,219.059998,207.389999,209.830002,209.830002,1001900
2020-11-02,210.005005,212.429993,200.619995,203.860001,203.860001,1242100
2020-11-03,204.410004,210.388000,202.559998,208.500000,208.500000,1091200
2020-11-04,217.779999,230.000000,217.009995,228.820007,228.820007,1824400
2020-11-05,232.990005,234.279999,226.000000,233.190002,233.190002,1319500
2020-11-06,233.380005,237.520004,226.399994,233.259995,233.259995,945800
2020-11-09,219.289993,228.979996,209.529999,217.389999,217.389999,1501400
2020-11-10,218.380005,218.850006,203.419998,213.339996,213.339996,1374500
2020-11-11,217.029999,220.990005,216.160004,219.410004,219.410004,665000
2020-11-12,222.270004,226.929993,220.445999,224.259995,224.259995,695200
2020-11-13,224.940002,226.889999,218.500000,221.800003,221.800003,933700
2020-11-16,214.600006,224.903000,214.014999,222.770004,222.770004,1100300
2020-11-17,224.169998,229.179993,223.199997,226.330002,226.330002,668300
2020-11-18,227.259995,230.080002,220.134995,223.839996,223.839996,924300
2020-11-19,223.839996,237.270004,222.520004,232.449997,232.449997,1181500
2020-11-20,237.979996,241.899994,232.610001,232.649994,232.649994,1382000
2020-11-23,234.979996,234.979996,224.089996,227.830002,227.830002,1806900
2020-11-24,230.000000,231.789993,226.300003,229.520004,229.520004,1166300
2020-11-25,230.750000,239.699997,230.750000,237.669998,237.669998,965400
2020-11-27,240.000000,241.970001,235.169998,236.039993,236.039993,904400
2020-11-30,239.000000,246.639999,236.524994,245.039993,245.039993,2218900
2020-12-01,244.119995,244.270004,235.139999,236.990005,236.990005,1495900
2020-12-02,234.690002,235.095001,227.300003,230.210007,230.210007,1768500
2020-12-03,246.389999,258.752991,239.300003,242.350006,242.350006,4154400
2020-12-04,241.270004,245.600006,238.589996,240.979996,240.979996,1327100
2020-12-07,243.768997,247.869995,240.009995,246.050003,246.050003,1113000
2020-12-08,245.000000,254.070007,244.899994,251.130005,251.130005,1090500
2020-12-09,249.149994,249.860001,230.070007,232.380005,232.380005,2805000
