Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,40.610001,40.950001,39.230000,39.840000,36.687515,7974700
2020-07-28,39.930000,41.009998,39.840000,40.680000,37.461044,5540500
2020-07-29,40.830002,41.259998,40.110001,41.160000,37.903065,4971300
2020-07-30,40.549999,40.849998,39.990002,40.639999,37.424206,4505600
2020-07-31,40.250000,40.889999,40.080002,40.709999,37.488670,11717200
2020-08-03,40.580002,41.180000,39.950001,41.080002,37.829391,4909800
2020-08-04,40.840000,41.070000,40.480000,40.930000,37.691269,5778500
2020-08-05,40.849998,41.400002,40.580002,40.810001,37.580761,6860000
2020-08-06,40.830002,41.490002,40.650002,40.889999,37.654430,4699200
2020-08-07,40.669998,41.610001,40.520000,41.520000,38.234577,4538300
2020-08-10,41.630001,42.900002,41.520000,42.860001,39.468548,4891800
2020-08-11,43.380001,44.049999,41.720001,41.849998,38.538464,6482600
2020-08-12,42.299999,42.639999,41.570000,41.820000,38.510838,4929500
2020-08-13,41.330002,41.610001,40.820000,41.000000,37.755722,5690000
2020-08-14,40.799999,41.950001,40.779999,41.910000,38.593712,5687300
2020-08-17,41.910000,41.970001,40.810001,41.180000,37.921482,5275600
2020-08-18,40.650002,41.540001,40.439999,40.759998,37.966194,4835900
2020-08-19,40.770000,40.889999,40.130001,40.250000,37.491146,4973200
2020-08-20,40.000000,40.139999,39.610001,39.709999,36.988163,3645100
2020-08-21,39.529999,39.919998,39.299999,39.459999,36.755299,5629500
2020-08-24,39.619999,40.189999,38.990002,39.740002,37.016106,5500900
2020-08-25,39.939999,40.099998,39.130001,39.500000,36.792553,5564700
2020-08-26,39.189999,39.380001,38.360001,38.669998,36.019451,7776600
2020-08-27,38.650002,39.450001,38.459999,39.340000,36.643520,6072300
2020-08-28,39.360001,39.400002,38.630001,38.759998,36.103268,6035600
2020-08-31,38.610001,38.709999,38.000000,38.020000,35.414005,7940100
2020-09-01,37.889999,37.959999,36.500000,36.759998,34.240360,10728300
2020-09-02,36.900002,37.570000,36.680000,37.169998,34.622257,7672400
2020-09-03,37.270000,38.330002,36.740002,37.090000,34.547741,8278000
2020-09-04,37.119999,37.540001,36.549999,36.889999,34.361450,6994400
2020-09-08,36.900002,37.220001,36.029999,36.099998,33.625599,8261200
2020-09-09,36.090000,36.270000,35.230000,35.349998,32.927010,9506300
2020-09-10,35.700001,35.700001,34.509998,34.669998,32.293621,7892700
2020-09-11,34.709999,35.250000,33.880001,34.700001,32.321560,9634500
2020-09-14,34.849998,35.169998,34.599998,35.110001,32.703457,5742100
2020-09-15,35.200001,35.700001,34.869999,35.270000,32.852489,8488400
2020-09-16,35.389999,36.889999,35.220001,36.279999,33.793259,8223500
2020-09-17,35.709999,37.279999,35.509998,37.209999,34.659519,7251300
2020-09-18,37.209999,37.250000,36.439999,36.930000,34.398712,12823700
2020-09-21,36.750000,36.869999,35.590000,35.790001,33.336857,7484700
2020-09-22,35.779999,35.970001,35.389999,35.720001,33.271648,4399100
2020-09-23,35.880001,36.279999,34.939999,35.060001,32.656891,8479100
2020-09-24,35.180000,35.259998,34.520000,35.029999,32.628944,5498600
2020-09-25,34.689999,35.560001,34.529999,35.430000,33.001522,5955400
2020-09-28,35.889999,36.520000,35.830002,36.070000,33.597660,5901600
2020-09-29,35.799999,36.270000,35.349998,35.380001,32.954952,5079100
2020-09-30,35.549999,36.299999,35.549999,35.919998,33.457939,6679200
2020-10-01,35.840000,36.119999,35.540001,35.869999,33.411369,4808900
2020-10-02,35.320000,35.959999,35.279999,35.770000,33.318226,5465000
2020-10-05,36.020000,36.669998,35.950001,36.619999,34.109959,4774900
2020-10-06,36.599998,37.029999,35.810001,35.950001,33.485886,5123000
2020-10-07,36.180000,36.750000,36.020000,36.490002,33.988873,3687100
2020-10-08,36.650002,37.090000,36.590000,37.070000,34.529118,3623700
2020-10-09,37.290001,37.590000,36.279999,36.340000,33.849152,7423700
2020-10-12,36.619999,37.709999,36.419998,36.930000,34.398712,8686600
2020-10-13,36.900002,37.090000,35.700001,36.180000,33.700123,8021100
2020-10-14,36.320000,36.810001,35.650002,35.910000,33.448627,8360200
2020-10-15,36.349998,38.220001,36.310001,37.639999,35.060040,16168300
2020-10-16,37.480000,37.910000,36.900002,37.410000,34.845806,8562000
2020-10-19,37.459999,37.799999,36.830002,36.970001,34.435974,4865300
2020-10-20,37.150002,37.770000,36.720001,37.490002,34.920326,6033700
2020-10-21,37.369999,37.869999,36.970001,37.389999,34.827179,3708500
2020-10-22,37.529999,37.669998,37.160000,37.509998,34.938957,4082200
2020-10-23,37.700001,38.080002,37.570000,38.040001,35.432629,3875100
2020-10-26,37.889999,38.029999,37.000000,37.209999,34.659519,7692900
