Market_Cap_Millions,Ticker,Sector
2496000,AAPL,Tech
66800,ABNB,Consumer Dis
183440,ADBE,Tech
84750,ADI,Tech
91230,ADP,Consumer Dis
42520,ADSK,Tech
49200,AEP,Telecom
19860,ALGN,Health Care
87860,AMAT,Tech
141860,AMD,Tech
132870,AMGN,Consumer Stap
1233000,AMZN,Consumer Dis
22440,ANSS,Tech
214080,ASML,Tech
62280,ATVI,Consumer Dis
207200,AVGO,Tech
205030,AZN,Health Care
48460,BIDU,Tech
30120,BIIB,Health Care
74530,BKNG,Consumer Dis
45920,CDNS,Tech
17960,CEG,Utilities
80400,CHTR,Consumer Dis
190270,CMCSA,Consumer Dis
234390,COST,Materials
28720,CPRT,Materials
42380,CRWD,Tech
183610,CSCO,Telecom
67130,CSX,Industrials
40350,CTAS,Consumer Dis
35550,CTSH,Tech
28510,DDOG,Tech
37820,DLTR,Consumer Dis
12680,DOCU,Tech
37040,DOW,Tech
32420,DXCM,Health Care
36360,EA,Consumer Dis
26070,EBAY,Consumer Dis
43540,EXC,Utilities
27760,FAST,Materials
63380,FISV,Consumer Dis
48960,FTNT,Tech
76200,GILD,Health Care
1425000,GOOG,Tech
1416000,GOOGL,Tech
123390,HON,Industrials
31550,IDXX,Health Care
31340,ILMN,Health Care
160110,INTC,Tech
120220,INTU,Tech
78270,ISRG,Health Care
98360,JD,Consumer Dis
52150,KDP,Consumer Stap
46980,KHC,Consumer Stap
50030,KLAC,Tech
31260,LCID,Consumer Dis
63460,LRCX,Tech
38460,LULU,Consumer Dis
50070,MAR,Consumer Dis
35820,MCHP,Tech
86860,MDLZ,Consumer Stap
38430,MELI,Consumer Dis
451010,META,Tech
50760,MNST,Consumer Dis
65900,MRNA,Health Care
43100,MRVL,Tech
1936000,MSFT,Tech
20380,MTCH,Tech
66350,MU,Tech
97170,NFLX,Consumer Dis
63580,NTES,Consumer Dis
425600,NVDA,Tech
45720,NXPI,Tech
31230,ODFL,Industrials
15640,OKTA,Tech
45040,ORLY,Consumer Dis
50340,PANW,Tech
43740,PAYX,Consumer Dis
29910,PCAR,Health Care
71070,PDD,Consumer Dis
234410,PEP,Consumer Dis
94550,PYPL,Consumer Dis
171640,QCOM,Tech
64510,REGN,Consumer Stap
28910,ROST,Consumer Dis
93470,SBUX,Consumer Dis
31820,SGEN,Health Care
25110,SIRI,Consumer Dis
51650,SNPS,Tech
16630,SPLK,Tech
17030,SWKS,Tech
49700,TEAM,Tech
168680,TMUS,Telecom
841130,TSLA,Consumer Dis
150490,TXN,Tech
28860,VRSK,Consumer Dis
19880,VRSN,Tech
72550,VRTX,Health Care
33490,WBA,Consumer Stap
37830,XEL,Utilities
31660,ZM,Tech
22140,ZS,Tech
38780,WDAY,Tech
