Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,87.230003,87.419998,79.230003,83.260002,77.769424,22455700
2020-07-28,83.379997,85.250000,83.379997,84.739998,79.151840,5519400
2020-07-29,85.000000,85.260002,83.839996,84.800003,79.207870,2950500
2020-07-30,84.480003,86.070000,83.919998,86.070000,80.394135,2684100
2020-07-31,85.739998,86.970001,85.160004,86.879997,81.150711,2797300
2020-08-03,86.620003,86.620003,84.949997,85.769997,80.113899,2088500
2020-08-04,85.529999,86.790001,85.180000,85.540001,79.899063,2162700
2020-08-05,85.839996,86.120003,84.500000,84.830002,79.235901,2233400
2020-08-06,84.010002,85.599998,82.769997,85.370003,79.740288,2313300
2020-08-07,84.250000,87.150002,84.250000,86.599998,81.557907,2230700
2020-08-10,86.940002,86.940002,85.500000,85.940002,80.936348,2774100
2020-08-11,85.199997,85.269997,82.870003,83.290001,78.440628,6387000
2020-08-12,83.750000,85.110001,83.730003,84.150002,79.250549,5597400
2020-08-13,83.570000,84.010002,83.110001,83.660004,78.789101,2059600
2020-08-14,83.440002,83.769997,82.790001,82.949997,78.120422,2874900
2020-08-17,83.269997,83.320000,81.209999,81.230003,76.500580,2988700
2020-08-18,81.360001,81.669998,80.059998,81.550003,76.801956,3340900
2020-08-19,81.589996,81.629997,80.669998,80.919998,76.208618,2021000
2020-08-20,80.690002,81.040001,79.169998,79.410004,74.786537,2412200
2020-08-21,79.199997,79.690002,77.989998,79.080002,74.475754,3090600
2020-08-24,79.250000,80.970001,78.730003,80.779999,76.076775,2519800
2020-08-25,80.849998,80.860001,79.389999,79.769997,75.125580,1685000
2020-08-26,79.059998,79.440002,78.169998,78.610001,74.033127,2532000
2020-08-27,78.800003,79.360001,78.199997,78.370003,73.807091,2159800
2020-08-28,78.379997,78.440002,77.320000,78.349998,73.788261,2894300
2020-08-31,78.750000,80.239998,77.779999,78.830002,74.240311,4966700
2020-09-01,78.589996,78.639999,77.300003,77.820000,73.289101,3172100
2020-09-02,77.809998,80.510002,77.709999,80.309998,75.634132,3201300
2020-09-03,80.660004,81.279999,78.730003,79.559998,74.927795,2230000
2020-09-04,79.550003,79.889999,77.910004,79.050003,74.447495,1710200
2020-09-08,79.080002,79.379997,77.669998,78.980003,74.381577,1821800
2020-09-09,79.500000,81.129997,79.190002,79.910004,75.257431,2124500
2020-09-10,79.400002,79.589996,78.139999,78.519997,73.948349,2424100
2020-09-11,78.480003,79.190002,78.120003,79.150002,74.541679,1824100
2020-09-14,79.320000,81.010002,79.209999,80.339996,75.662384,1979500
2020-09-15,80.610001,81.339996,79.389999,80.000000,75.342186,1667400
2020-09-16,79.839996,80.980003,79.610001,80.459999,75.775406,2111300
2020-09-17,80.010002,80.070000,79.110001,80.040001,75.379868,1562700
2020-09-18,79.889999,79.949997,78.510002,78.779999,74.193214,3160200
2020-09-21,78.339996,79.540001,77.790001,79.360001,74.739449,3135200
2020-09-22,78.970001,80.650002,78.839996,79.849998,75.200912,1773700
2020-09-23,79.839996,80.169998,78.940002,79.180000,74.569931,3406000
2020-09-24,79.129997,80.570000,78.580002,80.489998,75.803658,3551500
2020-09-25,80.309998,80.889999,79.809998,80.650002,75.954338,3252500
2020-09-28,81.059998,81.529999,80.459999,80.650002,75.954338,1707900
2020-09-29,81.010002,81.559998,80.480003,80.970001,76.255714,1688800
2020-09-30,81.540001,82.099998,81.239998,81.730003,76.971458,2594900
2020-10-01,81.690002,83.089996,81.300003,83.059998,78.224030,2365600
2020-10-02,82.730003,85.610001,82.220001,85.300003,80.333611,3883000
2020-10-05,85.250000,87.330002,84.250000,87.050003,81.981712,3397300
2020-10-06,86.620003,89.680000,86.360001,88.430000,83.281364,4369600
2020-10-07,88.800003,89.650002,88.089996,88.610001,83.450890,2257000
2020-10-08,88.930000,89.820000,88.370003,89.379997,84.176048,1626200
2020-10-09,89.949997,89.949997,88.559998,89.820000,84.590439,2734600
2020-10-12,89.699997,91.260002,88.910004,90.480003,85.212021,2301800
2020-10-13,89.889999,89.959999,88.440002,89.230003,84.034805,3103100
2020-10-14,89.529999,90.050003,88.589996,89.339996,84.138382,2283300
2020-10-15,88.559998,90.620003,88.559998,89.540001,84.326736,1674800
2020-10-16,89.760002,91.690002,89.360001,91.519997,86.191460,1966600
2020-10-19,91.430000,91.870003,90.940002,91.279999,85.965439,2229600
2020-10-20,91.900002,91.900002,90.019997,90.680000,85.400368,3647000
2020-10-21,90.410004,91.370003,90.080002,90.400002,85.136673,2604500
2020-10-22,90.169998,92.699997,89.790001,92.199997,86.831871,3507900
2020-10-23,92.150002,92.309998,91.519997,91.879997,86.530502,3525700
2020-10-26,91.459999,94.209999,91.459999,93.589996,88.140930,3753500
2020-10-27,93.080002,93.800003,91.959999,92.529999,87.142662,2485800
2020-10-28,92.070000,93.440002,90.180000,90.320000,85.061325,2916300
2020-10-29,90.059998,91.480003,88.839996,90.540001,85.268517,2215600
2020-10-30,90.599998,91.139999,88.750000,89.930000,84.694031,2415000
2020-11-02,90.830002,91.239998,89.769997,91.230003,85.918343,3171400
2020-11-03,92.089996,92.089996,90.449997,90.889999,85.598145,2886700
2020-11-04,90.650002,92.129997,89.989998,90.150002,84.901230,2401700
2020-11-05,91.080002,92.830002,90.580002,90.709999,85.428612,3012400
2020-11-06,91.110001,91.910004,90.470001,90.919998,85.626389,2145700
2020-11-09,92.000000,94.209999,90.029999,90.260002,85.702354,3674500
2020-11-10,90.040001,91.739998,89.389999,90.790001,86.205597,2587100
2020-11-11,91.279999,92.790001,90.730003,91.150002,86.547424,2094200
2020-11-12,90.389999,90.879997,88.839996,89.639999,85.113663,1687500
2020-11-13,90.019997,90.470001,89.199997,89.870003,85.332054,1936200
2020-11-16,89.269997,89.809998,88.010002,89.209999,84.705376,4201000
2020-11-17,88.900002,89.180000,86.489998,86.730003,82.350601,3052600
2020-11-18,87.269997,87.279999,84.050003,84.129997,79.881889,2861600
2020-11-19,83.330002,83.690002,81.980003,82.449997,78.286713,4399200
2020-11-20,81.790001,82.790001,80.809998,82.489998,78.324699,5841200
2020-11-23,83.220001,83.830002,82.400002,83.410004,79.198242,4275400
2020-11-24,84.099998,84.970001,83.330002,84.820000,80.537041,2864000
2020-11-25,85.110001,85.540001,84.279999,85.370003,81.059273,2276400
2020-11-27,85.269997,85.410004,84.129997,84.919998,80.631996,1154600
2020-11-30,84.820000,85.250000,84.010002,84.889999,80.603500,3484500
2020-12-01,85.230003,86.279999,84.610001,85.209999,80.907349,3362600
2020-12-02,84.860001,85.949997,84.080002,85.870003,81.534027,1858700
2020-12-03,85.589996,85.690002,84.220001,84.739998,80.461090,2590300
2020-12-04,84.589996,85.029999,82.639999,83.389999,79.179253,3094200
2020-12-07,82.849998,84.129997,82.800003,83.839996,79.606522,2545700
2020-12-08,83.669998,84.089996,82.690002,83.489998,79.274193,2077200
2020-12-09,83.489998,83.849998,82.830002,83.599998,79.378639,2491800
2020-12-10,84.000000,84.029999,82.209999,82.480003,78.315201,2449500
2020-12-11,82.050003,82.879997,81.879997,82.760002,78.581062,1884400
2020-12-14,83.800003,84.470001,82.139999,82.209999,78.058830,2756400
2020-12-15,82.699997,84.430000,82.160004,84.290001,80.033806,2334800
2020-12-16,84.220001,84.830002,82.599998,82.830002,78.647530,2290300
2020-12-17,83.269997,84.739998,83.220001,83.860001,79.625526,2585200
2020-12-18,83.650002,84.599998,82.620003,83.290001,79.084305,14359200
2020-12-21,82.709999,83.029999,80.860001,82.120003,77.973381,3056600
2020-12-22,81.940002,82.050003,80.900002,81.400002,77.289734,2896200
