Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,191.649994,197.800003,188.710007,196.270004,196.270004,2341800
2020-07-28,196.270004,202.110001,195.139999,196.729996,196.729996,2475200
2020-07-29,198.600006,210.479996,198.600006,209.149994,209.149994,4529500
2020-07-30,206.110001,215.000000,205.000000,213.940002,213.940002,4382800
2020-07-31,216.880005,217.699997,210.345993,216.830002,216.830002,3082400
2020-08-03,218.720001,227.330002,218.330002,226.279999,226.279999,3207100
2020-08-04,225.199997,229.410004,221.240005,227.679993,227.679993,2598200
2020-08-05,227.679993,229.830002,225.059998,226.020004,226.020004,1962800
2020-08-06,226.750000,228.500000,212.059998,215.679993,215.679993,4525300
2020-08-07,215.190002,215.419998,199.169998,204.759995,204.759995,5653500
2020-08-10,206.360001,207.597000,193.600006,198.380005,198.380005,5006500
2020-08-11,197.509995,199.839996,191.380005,191.820007,191.820007,4488600
2020-08-12,192.649994,196.880005,189.119995,193.300003,193.300003,4587400
2020-08-13,194.220001,203.850006,193.619995,199.380005,199.380005,4048000
2020-08-14,201.354996,204.460007,197.210007,199.710007,199.710007,1952600
2020-08-17,202.240005,209.830002,201.979996,207.699997,207.699997,2590500
2020-08-18,213.490005,213.529999,207.688004,209.470001,209.470001,2763900
2020-08-19,209.910004,212.169998,205.330002,208.210007,208.210007,1880800
2020-08-20,207.490005,215.500000,206.270004,214.479996,214.479996,2359200
2020-08-21,214.419998,216.399994,209.169998,210.179993,210.179993,2965800
2020-08-24,212.570007,213.440002,201.554001,204.490005,204.490005,3033000
2020-08-25,203.460007,205.500000,199.009995,205.089996,205.089996,2317000
2020-08-26,209.009995,218.419998,207.339996,214.410004,214.410004,3575100
2020-08-27,214.149994,217.899994,209.154999,214.770004,214.770004,2419000
2020-08-28,218.050003,223.824997,215.100006,215.240005,215.240005,3469600
2020-08-31,218.669006,224.139999,215.514999,223.000000,223.000000,3933300
2020-09-01,240.679993,271.440002,237.000000,268.799988,268.799988,20733100
2020-09-02,282.720001,290.230011,251.119995,265.160004,265.160004,25428200
2020-09-03,248.610001,251.899994,225.162003,242.009995,242.009995,31591200
2020-09-04,233.770004,234.940002,205.250000,216.259995,216.259995,26988700
2020-09-08,206.050003,214.139999,202.419998,205.630005,205.630005,11695900
2020-09-09,210.199997,216.250000,205.649994,211.789993,211.789993,11243400
2020-09-10,214.300003,217.250000,203.526001,205.949997,205.949997,6047400
2020-09-11,207.843994,208.660004,193.660004,197.940002,197.940002,8183200
2020-09-14,200.460007,204.921997,196.639999,202.949997,202.949997,5189100
2020-09-15,206.020004,207.000000,199.289993,202.020004,202.020004,4497500
2020-09-16,200.429993,203.520004,195.009995,197.009995,197.009995,5036400
2020-09-17,190.520004,195.235001,187.210007,193.389999,193.389999,5685300
2020-09-18,195.380005,195.850006,188.059998,194.860001,194.860001,7504900
2020-09-21,190.339996,205.100006,189.253998,205.020004,205.020004,6454200
2020-09-22,207.559998,212.490005,200.750000,212.130005,212.130005,5591900
2020-09-23,210.509995,219.279999,207.335007,211.520004,211.520004,7127600
2020-09-24,208.509995,209.550003,199.330002,203.850006,203.850006,4979700
2020-09-25,206.440002,213.110001,204.660004,212.360001,212.360001,3449700
2020-09-28,213.119995,216.800003,209.929993,213.240005,213.240005,3944600
2020-09-29,214.160004,217.020004,211.804993,212.929993,212.929993,3225600
2020-09-30,212.000000,218.429993,210.110001,215.240005,215.240005,3881700
2020-10-01,218.800003,224.229996,218.250000,222.259995,222.259995,4946500
2020-10-02,219.000000,227.199997,217.699997,218.270004,218.270004,5194800
2020-10-05,228.050003,236.369995,223.820007,225.919998,225.919998,7636200
2020-10-06,227.580002,228.300003,218.550003,221.199997,221.199997,4659500
2020-10-07,224.520004,226.850006,221.889999,224.050003,224.050003,3474700
2020-10-08,226.080002,226.899994,218.119995,220.389999,220.389999,3980700
2020-10-09,222.899994,228.860001,221.339996,225.600006,225.600006,4329400
2020-10-12,229.500000,234.000000,228.289993,231.860001,231.860001,3690000
2020-10-13,233.970001,240.000000,233.449997,238.210007,238.210007,3373300
2020-10-14,244.990005,246.800003,233.000000,237.100006,237.100006,5122200
2020-10-15,232.279999,240.970001,230.649994,240.449997,240.449997,3194100
2020-10-16,242.289993,243.705002,234.160004,234.600006,234.600006,2552500
2020-10-19,237.070007,238.470001,227.559998,228.410004,228.410004,2981100
2020-10-20,229.559998,231.690002,227.100006,227.800003,227.800003,2132700
2020-10-21,228.389999,232.000000,217.720001,218.119995,218.119995,2909800
2020-10-22,220.000000,221.020004,211.000000,214.800003,214.800003,3454700
2020-10-23,215.380005,219.970001,211.279999,219.820007,219.820007,2177600
2020-10-26,218.000000,227.279999,215.630005,220.169998,220.169998,2982800
2020-10-27,224.440002,225.240005,219.190002,222.184998,222.184998,1877200
2020-10-28,220.520004,222.800003,215.119995,218.250000,218.250000,2078700
2020-10-29,221.649994,223.899994,213.470001,213.649994,213.649994,2119000
2020-10-30,210.500000,210.910004,200.229996,202.250000,202.250000,3981900
2020-11-02,204.210007,204.649002,196.009995,201.559998,201.559998,3330600
2020-11-03,201.050003,209.141998,199.570007,208.429993,208.429993,2300600
2020-11-04,217.990005,235.339996,217.699997,235.009995,235.009995,5728300
2020-11-05,236.600006,246.000000,232.699997,236.770004,236.770004,4355300
2020-11-06,234.089996,235.649994,227.000000,231.690002,231.690002,2384400
2020-11-09,216.014008,216.014008,197.199997,197.600006,197.600006,11684500
2020-11-10,201.839996,203.884995,185.358994,198.309998,198.309998,8821600
2020-11-11,202.369995,209.389999,200.121994,208.550003,208.550003,3660900
2020-11-12,211.000000,214.500000,209.089996,212.619995,212.619995,3003000
2020-11-13,212.610001,213.250000,204.000000,205.699997,205.699997,2720600
2020-11-16,200.679993,208.875000,199.679993,208.130005,208.130005,2461500
2020-11-17,210.000000,214.179993,207.919998,211.910004,211.910004,1941000
2020-11-18,212.391998,216.798996,209.000000,214.320007,214.320007,2654600
2020-11-19,214.149994,222.850006,214.149994,219.699997,219.699997,2417400
2020-11-20,220.600006,226.389999,219.119995,221.589996,221.589996,2338900
2020-11-23,220.259995,221.369995,213.559998,217.169998,217.169998,2432700
2020-11-24,215.000000,217.699997,212.500000,217.199997,217.199997,2354000
2020-11-25,218.440002,224.539993,218.270004,224.149994,224.149994,1888100
2020-11-27,226.520004,226.910004,221.210007,226.869995,226.869995,1703000
2020-11-30,228.320007,233.880005,218.949997,227.880005,227.880005,3775600
2020-12-01,222.000000,223.000000,210.960007,215.710007,215.710007,5172200
2020-12-02,213.341003,219.899994,209.110001,217.699997,217.699997,3054900
2020-12-03,221.679993,236.240005,218.753998,231.009995,231.009995,10982200
2020-12-04,244.830994,256.000000,240.199997,243.220001,243.220001,19048100
2020-12-07,241.000000,241.809998,232.270004,232.520004,232.520004,6155000
2020-12-08,235.220001,237.500000,228.664001,234.820007,234.820007,4608700
2020-12-09,232.100006,234.000000,219.710007,220.970001,220.970001,4758600
2020-12-10,217.330002,227.500000,216.000000,222.589996,222.589996,3117500
2020-12-11,223.000000,228.205002,220.929993,225.490005,225.490005,2471300
2020-12-14,224.850006,228.789993,222.699997,228.330002,228.330002,2373400
2020-12-15,229.535004,237.740005,228.195007,233.699997,233.699997,3334600
2020-12-16,234.294006,239.699997,233.259995,237.080002,237.080002,2132200
2020-12-17,238.949997,247.740005,238.070007,247.000000,247.000000,3566200
2020-12-18,248.429993,249.250000,238.509995,241.000000,241.000000,4231000
2020-12-21,242.889999,249.899994,239.410004,248.000000,248.000000,3015900
2020-12-22,250.000000,252.789993,243.800003,251.600006,251.600006,3063400
2020-12-23,252.000000,252.479996,242.612000,244.050003,244.050003,2062000
2020-12-24,245.000000,250.300003,243.500000,244.929993,244.929993,1024500
2020-12-28,245.190002,246.880005,228.369995,229.199997,229.199997,3323500
2020-12-29,232.970001,233.139999,226.800003,228.160004,228.160004,2684400
2020-12-30,229.000000,230.139999,224.300003,225.899994,225.899994,2074500
2020-12-31,225.300003,225.990005,220.600006,222.300003,222.300003,2209600
2021-01-04,222.389999,224.625000,216.500000,222.410004,222.410004,2757700
2021-01-05,226.940002,233.800003,224.029999,228.500000,228.500000,4460900
2021-01-06,222.880005,228.292999,218.550003,223.850006,223.850006,2891800
2021-01-07,228.539993,239.789993,227.899994,239.029999,239.029999,4093400
2021-01-08,241.600006,246.389999,240.779999,244.539993,244.539993,3334900
2021-01-11,241.000000,244.979996,237.179993,240.960007,240.960007,1372400
2021-01-12,245.570007,263.000000,245.419998,262.649994,262.649994,7714900
2021-01-13,260.000000,262.309998,252.917999,255.850006,255.850006,4417400
2021-01-14,256.880005,258.269989,247.770004,250.250000,250.250000,2717800
2021-01-15,251.350006,256.440002,246.889999,249.279999,249.279999,2512600
2021-01-19,251.800003,260.380005,251.639999,256.570007,256.570007,3117700
2021-01-20,260.820007,262.470001,253.695007,255.309998,255.309998,2788200
2021-01-21,257.679993,257.679993,251.649994,253.940002,253.940002,1495700
2021-01-22,253.020004,257.125000,250.880005,255.149994,255.149994,1479000
2021-01-25,257.910004,260.000000,236.679993,244.399994,244.399994,4198900
