Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,42.810001,44.480000,42.430000,44.000000,40.041077,4733600
2020-07-28,43.740002,44.020000,42.590000,42.619999,38.785244,3395400
2020-07-29,42.799999,43.636002,42.740002,43.520000,39.604267,3186900
2020-07-30,42.660000,42.830002,41.340000,41.730000,37.975330,4118700
2020-07-31,41.490002,41.919998,40.590000,41.060001,37.365608,7462100
2020-08-03,41.220001,41.240002,40.080002,40.090000,36.482883,5079900
2020-08-04,40.040001,41.865002,39.900002,41.320000,37.602211,5408800
2020-08-05,41.900002,42.480000,41.750000,41.990002,38.211929,3563600
2020-08-06,41.689999,42.317001,41.056000,42.049999,38.266529,3724900
2020-08-07,41.580002,42.665001,41.444000,42.630001,38.794346,2913100
2020-08-10,42.810001,44.889999,42.810001,44.799999,40.769096,4245900
2020-08-11,45.540001,46.070000,44.340000,44.500000,40.496094,4373800
2020-08-12,45.220001,45.380001,43.930000,44.279999,40.295883,2577300
2020-08-13,43.860001,44.869999,43.709999,44.430000,40.432388,2767100
2020-08-14,43.950001,45.139999,43.830002,44.869999,40.832798,1998300
2020-08-17,45.099998,45.439999,44.209999,44.459999,40.459686,3257300
2020-08-18,44.410000,45.029999,44.310001,44.709999,40.687199,2447100
2020-08-19,44.689999,45.099998,44.250000,44.639999,40.623493,3453400
2020-08-20,44.020000,44.139999,43.529999,43.689999,39.758968,3324000
2020-08-21,43.500000,43.869999,43.250000,43.590000,39.667965,2511600
2020-08-24,44.299999,46.150002,44.020000,46.119999,41.970333,4609000
2020-08-25,46.410000,46.660000,45.473000,45.590000,41.488014,4188000
2020-08-26,45.680000,46.660000,45.279999,46.340000,42.170536,3928500
2020-08-27,46.680000,46.950001,45.810001,46.160000,42.006729,3702300
2020-08-28,45.410000,46.209999,44.970001,46.049999,42.551910,3772900
2020-08-31,45.990002,46.110001,45.090000,45.119999,41.692562,3916800
2020-09-01,44.790001,47.279999,44.470001,47.270000,43.679237,5428300
2020-09-02,47.680000,49.279999,47.419998,49.220001,45.481113,7305900
2020-09-03,49.279999,49.799999,47.919998,48.389999,44.714165,6726900
2020-09-04,49.290001,49.700001,48.080002,48.599998,44.908215,5325900
2020-09-08,47.689999,48.415001,47.435001,47.930000,44.289104,4280800
2020-09-09,48.570000,49.880001,48.500000,49.230000,45.490349,4168100
2020-09-10,49.299999,49.750000,48.660000,48.700001,45.000610,4211300
2020-09-11,49.209999,50.419998,49.040001,49.849998,46.063255,6225700
2020-09-14,50.070000,50.509998,49.695000,50.090000,46.285023,5298900
2020-09-15,50.610001,51.560001,50.389999,51.070000,47.190578,4771700
2020-09-16,50.189999,51.099998,49.430000,49.700001,45.924648,5863500
2020-09-17,49.369999,51.250000,48.849998,50.970001,47.098179,5253700
2020-09-18,50.529999,51.230000,50.250000,50.369999,46.543755,6271100
2020-09-21,49.040001,49.330002,47.180000,47.910000,44.270618,6468800
2020-09-22,47.980000,48.154999,47.200001,47.799999,44.168976,4181900
2020-09-23,47.680000,48.119999,46.470001,46.740002,43.189503,4018000
2020-09-24,46.669998,46.990002,45.689999,46.410000,42.884567,4648700
2020-09-25,45.770000,46.400002,45.630001,46.040001,42.542675,4090200
2020-09-28,46.500000,48.279999,46.500000,47.480000,43.873287,3993100
