Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,60.959999,62.840000,60.919998,62.779999,61.235020,9133400
2020-07-28,62.869999,62.948002,61.290001,61.490002,59.976772,5823100
2020-07-29,61.820000,63.450001,61.730000,62.590000,61.049698,5656000
2020-07-30,62.580002,62.810001,61.570000,62.290001,60.757084,5653200
2020-07-31,62.950001,64.250000,62.389999,63.790001,62.220169,11237600
2020-08-03,64.000000,65.550003,63.939999,64.529999,62.941956,10036100
2020-08-04,65.000000,65.125000,64.059998,64.570000,62.980972,7548200
2020-08-05,64.489998,65.849998,63.900002,65.519997,63.907589,9148400
2020-08-06,65.489998,65.500000,63.549999,64.910004,63.312607,10765300
2020-08-07,63.130001,63.599998,60.740002,62.060001,60.532742,14099100
2020-08-10,61.619999,62.750000,59.900002,61.490002,59.976772,12736000
2020-08-11,61.990002,62.580002,60.849998,61.180000,59.674397,10213200
2020-08-12,61.919998,63.520000,61.639999,62.900002,61.352070,6933100
2020-08-13,63.450001,63.459999,62.180000,62.540001,61.000931,7453300
2020-08-14,62.730000,62.790001,60.942001,62.060001,60.532742,10270200
2020-08-17,64.660004,67.099998,62.599998,66.980003,65.331665,32952600
2020-08-18,68.190002,71.400002,68.139999,70.320000,68.589470,23255700
2020-08-19,70.800003,73.690002,70.800003,72.559998,70.774338,22116000
2020-08-20,71.260002,74.389999,71.029999,73.940002,72.120384,22001100
2020-08-21,74.559998,75.722000,73.860001,74.980003,73.134789,12574700
2020-08-24,76.989998,77.300003,75.010002,76.180000,74.305260,12517100
2020-08-25,76.570000,79.820000,76.339996,78.970001,77.026596,19106300
2020-08-26,81.059998,81.449997,79.320000,80.379997,78.401894,19095700
2020-08-27,81.129997,81.239998,78.230003,79.300003,77.348480,12674100
2020-08-28,79.680000,80.720001,78.889999,79.959999,77.992233,7989900
2020-08-31,79.940002,80.470001,78.570000,78.639999,76.704720,12917300
2020-09-01,79.489998,83.000000,79.144997,82.489998,80.459969,11431400
2020-09-02,85.459000,86.580002,81.800003,83.209999,81.162254,13860900
2020-09-03,81.375000,81.690002,76.029999,79.040001,77.094872,19254000
2020-09-04,77.966003,80.800003,75.400002,80.000000,78.031250,21500900
2020-09-08,76.000000,78.014999,75.379997,76.220001,74.344276,14080500
2020-09-09,77.139999,77.660004,75.699997,77.190002,75.290405,8952800
2020-09-10,77.129997,78.169998,73.550003,74.529999,72.695862,11810400
2020-09-11,75.180000,76.190002,73.330002,74.180000,72.354477,10572300
2020-09-14,75.699997,76.910004,75.000000,76.589996,74.705162,7414900
2020-09-15,78.230003,78.415001,76.589996,77.000000,75.105080,8105500
2020-09-16,77.010002,77.070000,74.949997,75.089996,73.242081,8055400
2020-09-17,73.019997,74.470001,72.755997,74.370003,72.539803,9099400
2020-09-18,75.080002,75.790001,73.070000,74.500000,72.666603,9575000
2020-09-21,72.760002,75.150002,72.019997,75.129997,73.281097,9180800
2020-09-22,75.309998,75.580002,74.070000,75.000000,73.154297,7226600
2020-09-23,75.040001,76.820000,74.099998,74.589996,72.754379,9962200
