Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,90.019997,92.839996,89.260002,92.699997,89.303711,8021700
2020-07-28,92.169998,92.589996,90.570000,91.449997,88.099518,5818400
2020-07-29,92.080002,93.620003,91.739998,93.029999,89.621635,11453000
2020-07-30,102.419998,107.690002,100.699997,107.190002,103.262848,42122500
2020-07-31,105.660004,107.750000,104.510002,105.610001,101.740723,16765100
2020-08-03,107.400002,113.000000,107.029999,109.589996,105.574913,18899400
2020-08-04,109.489998,111.019997,108.660004,110.949997,106.885094,10205400
2020-08-05,111.000000,112.459999,110.080002,111.389999,107.308975,7967400
2020-08-06,111.230003,111.360001,109.930000,111.059998,106.991058,6392200
2020-08-07,110.010002,111.050003,106.000000,108.250000,104.283997,11155900
2020-08-10,108.599998,108.989998,105.720001,106.360001,102.463249,10087100
2020-08-11,106.199997,112.010002,104.739998,108.830002,104.842766,17803000
2020-08-12,110.389999,116.250000,109.650002,115.790001,111.547768,18664700
2020-08-13,116.199997,116.199997,112.769997,113.410004,109.254982,9958400
2020-08-14,113.300003,114.519997,112.570000,113.739998,109.572876,6641000
2020-08-17,113.290001,114.489998,110.629997,112.180000,108.070030,10283000
2020-08-18,112.910004,113.379997,111.519997,112.029999,107.925514,6387000
2020-08-19,112.330002,113.470001,110.750000,111.040001,106.971794,7747600
2020-08-20,110.000000,110.980003,109.669998,110.660004,106.605721,7200300
2020-08-21,110.230003,113.150002,109.949997,113.000000,108.859985,8546900
2020-08-24,114.370003,116.000000,113.269997,115.910004,111.663376,10235000
2020-08-25,116.110001,117.099998,114.440002,115.949997,111.701920,6208000
2020-08-26,116.250000,116.550003,115.169998,116.040001,111.788612,7487400
2020-08-27,116.430000,118.180000,115.349998,116.019997,111.769333,8206200
2020-08-28,116.709999,118.260002,116.169998,118.199997,113.869476,6280300
2020-08-31,118.330002,121.059998,118.120003,119.099998,114.736496,9694600
2020-09-01,121.080002,122.570000,119.510002,122.010002,117.539902,9091900
2020-09-02,123.260002,123.930000,121.809998,123.180000,119.302589,9167700
2020-09-03,121.300003,121.709999,115.599998,116.430000,112.765060,13560800
2020-09-04,115.690002,117.820000,112.379997,115.970001,112.319550,11064300
2020-09-08,111.940002,113.879997,109.620003,109.769997,106.314713,10245200
2020-09-09,113.480003,115.769997,112.300003,114.019997,110.430923,9708400
2020-09-10,115.150002,115.809998,111.570000,112.440002,108.900665,6166300
2020-09-11,113.379997,114.849998,112.400002,113.419998,109.849800,6740200
2020-09-14,115.239998,115.430000,112.650002,113.459999,109.888550,5397300
2020-09-15,114.940002,117.809998,114.790001,116.580002,112.910347,8773700
2020-09-16,118.000000,118.000000,114.540001,114.559998,110.953918,6340100
2020-09-17,111.919998,115.699997,111.000000,114.879997,111.263855,7418100
2020-09-18,115.040001,115.430000,109.800003,110.690002,107.205757,15443200
2020-09-21,109.160004,112.139999,108.300003,111.919998,108.397026,8197600
2020-09-22,112.610001,114.250000,110.419998,113.820000,110.237213,6911200
2020-09-23,113.639999,113.930000,110.070000,110.570000,107.089516,6553300
2020-09-24,109.389999,113.290001,109.239998,112.190002,108.658539,6849000
2020-09-25,113.550003,115.750000,111.800003,114.500000,110.895821,11718000
2020-09-28,115.959999,118.739998,114.919998,118.470001,114.740845,9043600
2020-09-29,118.139999,119.250000,117.199997,117.379997,113.685158,5655700
2020-09-30,117.500000,119.260002,116.919998,117.680000,113.975716,5829700
2020-10-01,119.930000,120.209999,117.699997,119.519997,115.757790,5316800
2020-10-02,116.779999,118.660004,115.430000,115.470001,111.835281,5834300
2020-10-05,116.900002,120.650002,116.730003,120.519997,116.726318,5835900
2020-10-06,120.449997,122.519997,119.099998,119.540001,115.777168,7637000
2020-10-07,121.239998,123.360001,120.650002,123.029999,119.157310,7410300
2020-10-08,124.000000,124.430000,121.839996,122.339996,118.489029,4757500
2020-10-09,123.930000,125.889999,122.790001,124.870003,120.939400,11073400
2020-10-12,127.699997,127.699997,124.949997,126.690002,122.702110,7893800
2020-10-13,127.470001,128.179993,125.400002,127.459999,123.447861,7605700
2020-10-14,129.080002,132.419998,128.929993,129.880005,125.791695,13177100
2020-10-15,127.300003,129.139999,126.650002,128.580002,124.532616,7376600
2020-10-16,129.699997,130.190002,127.739998,129.029999,124.968452,6625400
2020-10-19,130.130005,131.960007,127.699997,128.419998,124.377655,5765800
2020-10-20,129.179993,129.330002,127.510002,128.300003,124.261421,4409800
2020-10-21,128.039993,130.419998,126.370003,128.550003,124.503563,4344000
2020-10-22,129.509995,129.589996,126.860001,128.380005,124.338905,3895100
2020-10-23,128.589996,129.100006,127.099998,128.880005,124.823174,3943100
2020-10-26,127.529999,128.669998,124.400002,126.199997,122.227524,6065900
2020-10-27,126.510002,126.959999,125.190002,125.910004,121.946663,5825500
2020-10-28,123.500000,123.820000,121.050003,121.580002,117.752960,8234800
2020-10-29,122.059998,127.690002,121.889999,126.440002,122.459976,7053300
2020-10-30,123.680000,125.250000,121.599998,123.360001,119.476921,7811200
2020-11-02,124.500000,126.169998,122.410004,123.970001,120.067726,5860300
2020-11-03,125.440002,126.919998,124.690002,125.449997,121.501137,5832800
2020-11-04,129.320007,129.570007,126.070000,128.970001,124.910347,12608900
2020-11-05,145.820007,148.800003,141.830002,145.410004,140.832840,27910900
2020-11-06,146.009995,146.229996,143.960007,145.009995,140.445435,7278500
2020-11-09,149.410004,149.410004,142.440002,142.610001,138.121002,10666300
2020-11-10,140.149994,143.169998,138.529999,140.110001,135.699661,12019900
2020-11-11,144.500000,148.089996,144.000000,147.690002,143.041092,10222700
2020-11-12,147.570007,148.509995,143.070007,143.910004,139.380066,8580700
2020-11-13,145.539993,146.250000,143.229996,144.259995,139.719040,5899200
2020-11-16,145.199997,149.250000,144.550003,149.070007,144.377640,7598500
2020-11-17,149.020004,149.850006,147.179993,148.740005,144.058029,7438600
2020-11-18,149.240005,153.330002,146.910004,147.050003,142.421219,12124500
2020-11-19,146.559998,149.300003,145.460007,147.529999,142.886093,7743700
2020-11-20,148.279999,149.100006,145.940002,146.029999,141.433304,5551900
2020-11-23,142.350006,147.000000,141.880005,143.820007,139.292877,11649400
2020-11-24,143.389999,146.330002,141.110001,145.929993,141.336472,10800800
2020-11-25,145.949997,147.490005,144.039993,144.080002,139.544708,6398900
2020-11-27,145.490005,146.429993,143.699997,143.830002,139.302567,3878000
2020-11-30,144.630005,147.289993,144.050003,147.169998,142.537430,8712500
2020-12-01,148.789993,152.389999,147.789993,151.259995,146.498672,11906100
2020-12-02,150.509995,151.490005,149.619995,149.979996,145.885910,7800300
2020-12-03,151.039993,152.770004,149.639999,149.910004,145.817795,6355300
2020-12-04,150.300003,158.089996,150.000000,157.619995,153.317352,12759900
2020-12-07,158.550003,158.970001,156.710007,158.020004,153.706421,7009300
2020-12-08,157.460007,159.289993,155.869995,158.800003,154.465134,6088300
2020-12-09,158.600006,161.070007,155.550003,156.020004,151.761017,7947200
2020-12-10,154.419998,157.850006,152.729996,155.750000,151.498398,7522200
2020-12-11,149.240005,150.270004,141.889999,144.279999,140.341507,25923100
2020-12-14,144.899994,147.750000,143.330002,146.289993,142.296616,12258500
2020-12-15,149.369995,149.919998,147.100006,148.360001,144.310135,6616400
2020-12-16,149.139999,150.440002,146.710007,149.740005,145.652466,6610900
2020-12-17,150.869995,151.229996,148.380005,149.529999,145.448196,7039000
2020-12-18,150.789993,150.789993,146.119995,147.419998,143.395798,13288300
2020-12-21,145.009995,147.360001,144.410004,146.800003,142.792709,7024600
2020-12-22,146.610001,147.029999,144.720001,146.339996,142.345261,5751500
2020-12-23,147.630005,151.539993,146.869995,146.960007,142.948349,5186700
2020-12-24,147.800003,148.899994,147.199997,148.789993,144.728378,2120200
2020-12-28,150.619995,151.070007,147.440002,147.740005,143.707062,4576600
2020-12-29,148.970001,148.990005,147.029999,148.490005,144.436600,3543800
2020-12-30,149.119995,151.610001,148.919998,149.949997,145.856720,3965600
2020-12-31,150.320007,152.559998,150.100006,152.339996,148.181473,4941700
2021-01-04,153.009995,155.149994,147.139999,148.500000,144.446304,9827000
2021-01-05,148.649994,152.699997,148.500000,152.429993,148.269012,8507200
2021-01-06,151.529999,153.869995,149.470001,151.190002,147.062866,7174600
2021-01-07,152.330002,156.419998,152.259995,155.699997,151.449738,8482300
2021-01-08,157.229996,157.529999,154.539993,156.639999,152.364105,6252400
2021-01-11,156.100006,158.130005,154.919998,156.110001,151.848587,5147800
2021-01-12,156.639999,156.869995,153.960007,154.449997,150.233871,4385700
2021-01-13,155.190002,157.929993,153.649994,157.419998,153.122818,5479900
2021-01-14,159.399994,163.179993,158.500000,160.850006,156.459183,10102400
2021-01-15,160.770004,160.860001,156.880005,157.089996,152.801804,8607400
2021-01-19,158.940002,164.100006,158.449997,163.770004,159.299484,8209000
2021-01-20,164.720001,167.940002,164.440002,164.600006,160.106812,7943300
2021-01-21,165.809998,166.490005,163.339996,164.750000,160.252701,6295700
2021-01-22,164.000000,164.270004,161.520004,162.419998,157.986343,5062300
2021-01-25,164.320007,167.050003,161.729996,164.399994,159.912247,5370800
2021-01-26,164.199997,164.649994,160.910004,162.550003,158.112778,6554200
2021-01-27,158.490005,160.729996,152.690002,153.669998,149.475174,9854000
2021-01-28,156.279999,158.970001,153.110001,155.550003,151.303864,8087400
2021-01-29,160.250000,160.639999,154.750000,156.279999,152.013947,9502100
2021-02-01,157.369995,162.399994,156.490005,161.580002,157.169250,8265100
2021-02-02,164.509995,165.380005,161.300003,164.779999,160.281891,6926500
2021-02-03,167.580002,167.580002,161.800003,162.300003,157.869583,14156700
2021-02-04,150.179993,151.779999,145.199997,147.970001,143.930756,46141800
2021-02-05,148.850006,148.899994,144.619995,145.839996,141.858917,24695400
2021-02-08,147.100006,147.600006,145.300003,147.380005,143.356873,12181600
2021-02-09,147.550003,148.500000,145.899994,146.110001,142.121536,11681300
2021-02-10,147.619995,147.750000,144.369995,145.500000,141.528183,11701300
2021-02-11,145.779999,146.570007,143.529999,145.559998,141.586563,11600200
2021-02-12,145.570007,151.399994,144.869995,147.979996,143.940506,9155200
2021-02-16,149.000000,149.740005,146.059998,147.160004,143.142883,10211900
2021-02-17,145.820007,146.889999,143.419998,144.750000,140.798691,11937200
2021-02-18,143.539993,144.699997,142.960007,143.910004,139.981598,8404400
2021-02-19,144.779999,145.850006,143.490005,144.940002,140.983475,10012500
2021-02-22,142.250000,144.119995,139.080002,139.460007,135.653076,12763900
2021-02-23,136.380005,138.479996,134.440002,137.119995,133.376953,14425300
2021-02-24,136.399994,141.179993,135.089996,141.100006,137.248306,13146200
2021-02-25,139.559998,140.830002,135.020004,135.529999,131.830353,12701100
