Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,5.900000,5.990000,5.840000,5.990000,5.644288,20470100
2020-07-28,6.050000,6.060000,5.920000,5.950000,5.606597,18707100
2020-07-29,5.970000,6.020000,5.870000,5.910000,5.568906,27449800
2020-07-30,6.070000,6.200000,5.820000,5.870000,5.531215,52706100
2020-07-31,5.850000,5.930000,5.750000,5.880000,5.540637,35187800
2020-08-03,5.870000,5.930000,5.810000,5.870000,5.531215,21193300
2020-08-04,5.850000,5.990000,5.840000,5.920000,5.578329,21432500
2020-08-05,5.940000,5.970000,5.890000,5.910000,5.568906,17989500
2020-08-06,5.900000,5.950000,5.860000,5.920000,5.590626,17973300
2020-08-07,5.880000,5.990000,5.880000,5.980000,5.647288,18089700
2020-08-10,5.940000,6.020000,5.900000,6.010000,5.675619,17325200
2020-08-11,6.020000,6.150000,6.020000,6.050000,5.713393,27783400
2020-08-12,6.060000,6.200000,6.050000,6.090000,5.751168,21151800
2020-08-13,6.080000,6.120000,6.000000,6.010000,5.675619,16563000
2020-08-14,6.010000,6.050000,5.970000,5.980000,5.647288,15346000
2020-08-17,6.000000,6.020000,5.920000,6.000000,5.666175,21609500
2020-08-18,5.970000,6.010000,5.930000,5.950000,5.618957,14578400
2020-08-19,5.970000,5.980000,5.850000,5.870000,5.543408,15605700
2020-08-20,5.820000,5.840000,5.770000,5.830000,5.505633,18622000
2020-08-21,5.790000,5.820000,5.750000,5.820000,5.496190,21217800
2020-08-24,5.820000,5.870000,5.780000,5.850000,5.524520,20255500
2020-08-25,5.870000,5.890000,5.780000,5.860000,5.533964,17489900
2020-08-26,5.810000,5.870000,5.800000,5.830000,5.505633,15294000
2020-08-27,5.850000,5.960000,5.850000,5.900000,5.571739,22569800
2020-08-28,5.920000,5.980000,5.900000,5.960000,5.628401,17721200
2020-08-31,5.910000,5.920000,5.850000,5.870000,5.543408,18814200
2020-09-01,5.830000,5.850000,5.790000,5.830000,5.505633,22515300
2020-09-02,5.820000,5.960000,5.810000,5.930000,5.600070,35495700
2020-09-03,5.940000,5.990000,5.730000,5.760000,5.439528,33941600
2020-09-04,5.800000,5.830000,5.660000,5.720000,5.401753,24106800
2020-09-08,5.700000,5.720000,5.590000,5.620000,5.307317,32394900
2020-09-09,5.660000,5.740000,5.570000,5.710000,5.392309,29788000
2020-09-10,5.690000,5.770000,5.530000,5.580000,5.269543,31233900
2020-09-11,5.590000,5.620000,5.450000,5.480000,5.175107,26112900
2020-09-14,5.510000,5.670000,5.510000,5.640000,5.326204,29251300
